Category,Type,LCOE Low,LCOE,LCOE High,Source
Nuclear,Small Modular Reactor,5.5,0.0,9.7,https://www.energy.gov/sites/prod/files/2014/06/f16/Electricity%20Generating%20Portfolios%20with%20SMRs.pdf
Nuclear,Small Modular Reactor,6.5,8.5,11.0,https://www.osti.gov/servlets/purl/1327234
Nuclear,Small Modular Reactor,12.04,14.14,17.36,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/665197/TEA_Project_1_Vol_1_-_Comprehensive_Analysis_and_Assessment_SMRs.pdf
Nuclear,Small Modular Reactor,7.5,0.0,12.5,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Nuclear,Small Modular Reactor,7.7,0.0,24.0,https://docplayer.net/4589266-Developing-a-range-of-levelized-cost-estimates-for-integral-light-water-small-modular-reactors.html
Nuclear,Small Modular Reactor,6.1,0.0,14.0,https://www.uamps.com/file/b5110bfa-d567-46c9-b20d-3c4a4546a7ed
Nuclear,Generation IV,3.6,0.0,9.0,https://www.eenews.net/assets/2017/07/25/document_gw_07.pdf
Nuclear,Sodium-Cooled Fast Reactor,6.0,0.0,16.0,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Nuclear,High Temperature Reactor,7.5,0.0,17.5,https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf
Nuclear,Fusion,4.0,0.0,13.0,https://fire.pppl.gov/EU_Fusion_Roadmap_2013.pdf
Nuclear,Fusion,8.778,0.0,26.362,https://www.euro-fusion.org/fileadmin/user_upload/Archive/wp-content/uploads/2015/02/Bustreo_Fusion-Economics.pdf
Nuclear,Fusion,11.51,0.0,16.03,https://www.sciencedirect.com/science/article/pii/S0360544218305395
Hydro,Hydro,3.91,3.91,3.91,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Hydro,Hydro,4.0,0.0,12.0,https://openei.org/apps/TCDB/
Hydro,Hydro,2.3,0.0,24.5,https://www.nrel.gov/docs/fy17osti/67645.pdf
Hydro,Hydro,2.0,5.0,22.0,https://www.irena.org/publications/2018/Jan/Renewable-power-generation-costs-in-2017
Hydro,Large Hydro,2.4,0.0,30.2,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Hydro,Large Hydro,2.0,0.0,21.0,http://www.irena.org/DocumentDownloads/Publications/RE_Technologies_Cost_Analysis-HYDROPOWER.pdf
Hydro,Small Hydro,3.0,0.0,23.0,https://openei.org/apps/TCDB/
Hydro,Small Hydro,1.9,0.0,31.4,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Hydro,Small Hydro,2.0,0.0,30.0,http://www.irena.org/DocumentDownloads/Publications/RE_Technologies_Cost_Analysis-HYDROPOWER.pdf
Hydro,Refurbishments,1.0,0.0,5.0,http://www.irena.org/DocumentDownloads/Publications/RE_Technologies_Cost_Analysis-HYDROPOWER.pdf
Solar,Photovoltaics,5.5,0.0,17.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Solar,Photovoltaics,2.0,5.0,18.0,https://www.irena.org/publications/2018/Jan/Renewable-power-generation-costs-in-2017
Solar,Photovoltaics,20.0,0.0,35.0,https://openei.org/apps/TCDB/
Solar,Photovoltaics,4.37,0.0,7.59,https://www.ise.fraunhofer.de/content/dam/ise/en/documents/publications/studies/EN2018_Fraunhofer-ISE_LCOE_Renewable_Energy_Technologies.pdf
Solar,Photovoltaics,4.03,6.0,10.69,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Solar,Crystalline PV,4.0,0.0,4.6,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Solar,Thin Film PV,3.6,0.0,4.4,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
Solar,Perovskite,3.5,0.0,4.9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5238749/
Solar,Organic PV,2.775,4.86,7.29,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201802521
Solar,PV Fixed,5.25,0.0,6.75,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Solar,PV 1-Axis Tracking,5.25,0.0,6.0,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Solar,PV 2-Axis Tracking,5.625,0.0,6.0,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Solar,Solar Thermal,15.0,0.0,21.0,https://openei.org/apps/TCDB/
Solar,Solar Thermal,8.0,0.0,21.0,https://www.nrel.gov/docs/fy17osti/67645.pdf
Solar,Solar Thermal,13.82,15.71,17.87,https://www.eia.gov/outlooks/aeo/pdf/electricity_generation.pdf
Solar,Solar Thermal,7.0,8.0,9.0,https://www.irena.org/publications/2018/Jan/Renewable-power-generation-costs-in-2017
Solar,Solar Thermal without Storage,12.3,0.0,49.0,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Solar,Solar Thermal without Storage,16.7,0.0,39.9,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Solar,Solar Thermal with Storage,15.6,0.0,46.9,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Solar,Solar Thermal with Storage,10.5,0.0,31.7,https://www.worldenergy.org/wp-content/uploads/2013/09/WEC_J1143_CostofTECHNOLOGIES_021013_WEB_Final.pdf
Solar,Solar Thermal with Storage,6.0,0.0,10.5,http://www.co2crc.com.au/wp-content/uploads/2016/04/LCOE_Report_final_web.pdf
Solar,Solar Thermal with Storage,9.8,0.0,18.1,https://www.lazard.com/media/450784/lazards-levelized-cost-of-energy-version-120-vfinal.pdf
